tic,date,Operating_Income,Total_Revenue,Net_Income,Basic_EPS,Accounts_Payable,Accounts_receivable,Accumulated_Depreciation,Allowance_For_Doubtful_Accounts_Receivable,Assets_Held_for_Sale_Current,Available_for_Sale_Securities,Buildings_And_Improvements,Capital_Lease_Obligations,Capital_Stock,Cash,Cash_And_Cash_Equivalents,Cash_Cash_Equivalents_&_Short_Term_Investments,Cash_Equivalents,Common_Stock,Common_Stock_Equity,Construction_in_Progress,Current_Accrued_Expenses,Current_Assets,Current_Capital_Lease_Obligation,Current_Debt,Current_Debt_And_Capital_Lease_Obligation,Current_Deferred_Liabilities,Current_Deferred_Revenue,Current_Deferred_Taxes_Liabilities,Current_Liabilities,Current_Provisions,Derivative_Product_Liabilities,Dividends_Payable,Due_to_Related_Parties_Current,Due_to_Related_Parties_Non_Current,Employee_Benefits,Financial_Assets,Financial_Assets_Designatedas_Fair_Value_Through_Profitor_Loss_Total,Finished_Goods,Foreign_Currency_Translation_Adjustments,Gains_Losses_Not_Affecting_Retained_Earnings,Goodwill,Goodwill_And_Other_Intangible_Assets,Gross_Accounts_Receivable,Gross_PPE,Hedging_Assets_Current,Income_Tax_Payable,Inventories_Adjustments_Allowances,Inventory,Invested_Capital,Investment_in_Financial_Assets,Investments_And_Advances,Investments_in_Associatesat_Cost,Investments_in_Joint_Venturesat_Cost,Investments_in_Other_Ventures_Under_Equity_Method,Investments_in_Subsidiariesat_Cost,Land_And_Improvements,Leases,Loans_Receivable,Long_Term_Capital_Lease_Obligation,Long_Term_Debt,Long_Term_Debt_And_Capital_Lease_Obligation,Long_Term_Equity_Investment,Long_Term_Provisions,Machinery_Furniture_Equipment,Mineral_Properties,Minority_Interest,Net_Debt,Net_PPE,Net_Tangible_Assets,Non_Current_Accounts_Receivable,Non_Current_Deferred_Assets,Non_Current_Deferred_Liabilities,Non_Current_Deferred_Revenue,Non_Current_Deferred_Taxes_Assets,Non_Current_Deferred_Taxes_Liabilities,Non_Current_Note_Receivables,Non_Current_Pension_And_Other_Post-Retirement_Benefit_Plans,Notes_Receivable,Ordinary_Shares_Number,Other_Current_Assets,Other_Current_Borrowings,Other_Current_Liabilities,Other_Equity_Adjustments,Other_Equity_Interest,Other_Intangible_Assets,Other_Inventories,Other_Investments,Other_Non_Current_Assets,Other_Non_Current_Liabilities,Other_Properties,Other_Short_Term_Investments,Payables,Payables_And_Accrued_Expenses,Pension_&_Other_Post_Retirement_Benefit_Plans_Current,Prepaid_Assets,Raw_Materials,Receivables,Restricted_Cash,Retained_Earnings,Share_Issued,Stockholders_Equity,Tangible_Book_Value,Taxes_Receivable,Total_Assets,Total_Capitalization,Total_Debt,Total_Equity_Gross_Minority_Interest,Total_Liabilities_Net_Minority_Interest,Total_Non_Current_Liabilities_Net_Minority_Interest,Total_non-current_assets,Total_Tax_Payable,Tradeand_Other_Payables_Non_Current,Treasury_Shares_Number,Treasury_Stock,Work_in_Process,Working_Capital
BRFS3.SA,12/31/2024,280468.77,2839680.42,112616.99,0.54,2193897.09,983011.81,-1955931.72,,557.44,52396.60,2260542.56,646105.02,2160057.61,223035.92,1806693.20,1951366.34,1583657.28,2160057.61,2441043.85,10766.02,251950.00,4988751.62,164209.22,199073.62,363282.85,189045.31,7696.60,11207.93,3369025.73,,38221.04,,,0.00,75586.89,4070.71,,616627.35,,521644.01,610236.57,1079807.61,,4394156.47,10199.51,,-18696.76,1548970.06,5797119.90,52396.60,73316.18,,,20825.08,,126977.02,,,481895.79,3157002.43,3638898.22,20825.08,,1898976.70,,228730.26,1549382.85,2438224.76,1361236.25,739169.26,377186.41,249416.99,,377186.41,249416.99,1300.16,,5226.86,262272.50,39424.43,199073.62,170651.94,521644.01,-22913.92,469571.04,471385.28,94.50,403134.95,86173.46,,14467.31,2378678.80,2630628.80,15416.83,47048.38,413466.99,1346521.20,44664.24,,272244.86,2441043.85,1361236.25,358282.52,10141598.06,5598046.28,4002181.07,2669774.11,7471823.95,4102798.22,5152846.44,184781.72,1450.16,9972.36,217743.85,66187.22,1619725.89
BRFS3.SA,9/30/2024,361784.84,2849772.72,188095.47,0.62,2483728.66,874033.78,-2168670.83,,2325.68,220470.53,2527448.69,734454.19,2450735.45,308789.06,1968488.34,1984376.72,1659699.28,2450735.45,3034707.18,87149.62,257423.90,5201982.01,188366.44,186766.84,375133.28,205030.84,82866.90,122163.94,3595973.20,,6981.09,,,0.00,93299.61,10468.51,,800171.47,,303306.59,655496.97,1174831.65,,4887678.72,25585.83,,-21593.17,1851255.55,6622572.06,220470.53,236517.17,1483.94,,,14455.48,138264.73,,,546087.75,3401098.04,3947185.79,15939.42,,2134815.68,,206134.57,1619376.54,2719007.89,1859875.53,861243.25,333859.37,101149.81,,333859.37,101149.81,3126.86,,4464.29,300746.55,42896.82,186766.84,102417.66,303306.59,-15968.06,519334.68,503863.59,107.21,469939.78,101706.26,,15888.38,2640102.26,2897526.16,15865.25,71129.80,495612.08,1221745.73,2665.87,462144.48,308880.71,3034707.18,1859875.53,343247.66,11105193.13,6435805.21,4322319.07,3240841.75,7864351.39,4268378.19,5903211.13,156373.60,18055.63,8134.16,16551.13,73201.58,1606008.81
BRFS3.SA,6/30/2024,307891.37,2671723.69,176763.06,0.59,2309072.83,997878.85,-2073709.91,,2280.60,200284.36,2446277.02,708718.86,2388896.92,229825.88,2050439.87,2136199.36,1820613.99,2388896.92,2819211.17,7444.17,217613.82,5206993.56,187422.51,386422.15,573844.67,187159.99,6874.73,11841.27,3590081.42,,6222.44,,,0.00,89688.80,91754.29,,745143.88,,252028.81,643239.44,1159747.49,,4734387.62,6357.19,,-19714.03,1650633.50,6813052.25,200284.36,216725.84,,,16337.15,0.00,136150.32,,,521296.35,3607418.93,4128715.28,16337.15,,2077518.61,,188134.75,1943401.22,2660677.70,1659463.67,853807.62,405472.44,106164.10,,405472.44,106164.10,2923.77,,2405.87,296805.19,2392.98,386422.15,144518.07,252028.81,-15786.51,516508.05,496241.23,104.33,459553.33,113952.04,,85759.48,2451269.33,2668883.14,15675.55,73238.55,359942.38,1311753.22,2601.29,267134.04,301086.84,2819211.17,1659463.67,311468.50,11057656.05,6426630.10,4702559.95,3007345.92,8050310.13,4460228.70,5850662.49,142196.49,15486.04,4281.65,73062.10,69020.04,1616912.13
BRFS3.SA,3/31/2024,249987.24,2667499.30,100696.51,0.30,2384123.63,853817.75,-2252061.81,,2268.20,54285.94,2695632.30,804207.58,2661845.66,313001.79,1907718.44,2001340.58,1594716.65,2661845.66,3036518.84,8952.94,218470.39,5160704.69,208007.78,450794.22,658801.99,210190.03,6871.59,141473.98,3758078.56,,10954.14,,,0.00,92593.02,98801.99,,,,332946.36,685828.51,1236909.27,,5217291.92,6344.57,,,1808918.25,6992002.99,54285.94,73278.76,,,,,147135.79,,,596199.80,3504689.93,4100889.73,,,2284994.42,,163180.66,2047765.70,2965230.11,1799609.57,937974.48,436721.64,108007.18,,436721.64,108007.18,4397.21,,7477.37,332689.23,39243.07,450794.22,121428.12,332946.36,-12860.02,551080.76,1808918.25,18992.82,503700.50,129863.81,,93622.13,2532257.63,2750728.02,16930.41,93950.95,,1205812.16,2826.92,100696.51,335488.19,3036518.84,1799609.57,344517.05,11417718.64,6541208.77,4759691.72,3199699.50,8218019.14,4459940.58,6257013.96,148134.00,17632.70,2798.96,4610.97,,1402626.12
BRFS3.SA,12/31/2023,203364.72,2972654.85,154828.35,,2594684.94,982087.57,-2278860.09,,1484.44,65937.56,2737259.84,766916.75,2750701.83,331188.34,1909059.14,2001348.03,1577870.80,2750701.83,3075093.34,100326.81,202855.35,5348086.13,194586.03,505221.10,699807.13,208214.71,59814.34,148400.37,3995538.43,,12326.19,,,0.00,93632.39,10917.58,,765573.05,,358648.88,698730.27,1265287.04,,5289145.27,22506.08,,-26756.23,1922739.34,7215943.95,65937.56,8610.96,20015.25,,20015.25,,150443.64,,,572330.72,3635629.51,4207960.23,20015.25,,2301114.98,,148408.82,2231791.47,3010285.18,1809806.31,1031658.15,435423.04,111911.81,,435423.04,111911.81,31.53,,13338.35,345900.69,29368.84,505221.10,151597.57,358648.88,-14445.91,566556.77,572390.27,156.81,515038.33,137737.28,,92288.89,2715255.51,2918110.86,17808.16,59663.92,533479.91,1308128.99,2846.49,0.00,346687.26,3075093.34,1809806.31,312703.07,11801378.53,6710722.85,4907767.36,3223502.16,8577876.37,4582337.94,6453292.40,120570.57,18770.04,786.56,19811.46,78052.34,1352547.70
PETR4.SA,3/31/2025,7369000.00,21073000.00,5974000.00,0.46,5445000.00,3069000.00,-116469000.00,,550.00,837.00,,40658000.00,107101000.00,146.00,4695000.00,7669000.00,4549000.00,107101000.00,68934000.00,35274000.00,,21743000.00,8841000.00,2763000.00,11604000.00,,,,30273000.00,2352000.00,,14.00,,,11701000.00,,,5800000.00,,-44141000.00,22.00,2282000.00,,268897000.00,,1453000.00,,7450000.00,92767000.00,837.00,1565000.00,220.00,508.00,,,4276000.00,2557000.00,,31817000.00,21070000.00,52887000.00,728.00,28742000.00,19799000.00,73163000.00,307.00,19138000.00,152428000.00,66652000.00,5095000.00,983.00,4800000.00,,983.00,4800000.00,,,,12888732.76,,2763000.00,3211000.00,-44141000.00,,2260000.00,1380000.00,,15778000.00,1663000.00,133828000.00,2974000.00,10487000.00,10487000.00,2619000.00,,1650000.00,4694000.00,,,12888732.76,68934000.00,66652000.00,1625000.00,199874000.00,90004000.00,64491000.00,69241000.00,130633000.00,100360000.00,178131000.00,5028000.00,567.00,,,,-8530000.00
PETR4.SA,12/31/2024,1276000.00,20815000.00,-2780000.00,-0.22,6082000.00,3566000.00,-104617000.00,,510.00,,,37149000.00,107101000.00,136.00,3271000.00,7534000.00,3135000.00,107101000.00,59106000.00,30321000.00,,21836000.00,8542000.00,2566000.00,11108000.00,,,,31460000.00,1696000.00,,2657000.00,,,10672000.00,,582.00,5354000.00,,-47995000.00,20.00,2255000.00,,240902000.00,,1400000.00,,6710000.00,82268000.00,582.00,1241000.00,175.00,481.00,,,3895000.00,2340000.00,,28607000.00,20596000.00,49203000.00,656.00,27340000.00,17542000.00,67357000.00,244.00,19891000.00,136285000.00,56851000.00,4857000.00,922.00,1470000.00,,922.00,1470000.00,,,,12888732.76,,2566000.00,2918000.00,-47995000.00,,2235000.00,1550000.00,3.00,14249000.00,1620000.00,119447000.00,4263000.00,13423000.00,13423000.00,2315000.00,,1356000.00,5532000.00,,,13044496.93,59106000.00,56851000.00,1966000.00,181645000.00,79702000.00,60311000.00,59350000.00,122295000.00,90835000.00,159809000.00,4684000.00,530.00,155764.17,,,-9624000.00
PETR4.SA,9/30/2024,8810000.00,23366000.00,5870000.00,0.45,5299000.00,4377000.00,-113860000.00,,420.00,643.00,,33376000.00,107101000.00,582.00,8694000.00,14287000.00,8112000.00,107101000.00,72255000.00,34687000.00,,30721000.00,7749000.00,3957000.00,11706000.00,,,,32843000.00,1701000.00,,2402000.00,,,14229000.00,,643.00,5875000.00,,-41270000.00,23.00,2558000.00,,254939000.00,,1159000.00,,7442000.00,98011000.00,643.00,1617000.00,493.00,481.00,,,4027000.00,2467000.00,,25627000.00,21799000.00,47426000.00,974.00,21608000.00,17706000.00,68020000.00,257.00,17062000.00,141079000.00,69697000.00,5115000.00,980.00,7264000.00,,980.00,7264000.00,,,,12888732.76,,3957000.00,3199000.00,-41270000.00,,2535000.00,1757000.00,,15769000.00,1719000.00,128032000.00,5593000.00,13354000.00,13354000.00,2883000.00,,1567000.00,6815000.00,,,13044496.93,72255000.00,69697000.00,2438000.00,197839000.00,94054000.00,59132000.00,72512000.00,125327000.00,92484000.00,167118000.00,5653000.00,238.00,155764.17,,,-2122000.00
PETR4.SA,6/30/2024,6321000.00,23467000.00,-344.00,-0.03,4812000.00,4405000.00,-109813000.00,,422.00,1344000.00,,33309000.00,107101000.00,511.00,7884000.00,12174000.00,7373000.00,107101000.00,67185000.00,31292000.00,,28658000.00,7437000.00,4617000.00,12054000.00,,,,32016000.00,1659000.00,,2295000.00,,,13841000.00,,,5889000.00,,-41747000.00,22.00,2688000.00,,245764000.00,,373.00,,7339000.00,93506000.00,1344000.00,2330000.00,496.00,490.00,,,3927000.00,2717000.00,,25872000.00,21704000.00,47576000.00,986.00,21280000.00,16556000.00,66123000.00,463.00,18437000.00,135951000.00,64497000.00,5145000.00,1097000.00,6076000.00,,1097000.00,6076000.00,,,,12888732.76,,4617000.00,3304000.00,-41747000.00,,2666000.00,1518000.00,,14580000.00,1770000.00,125149000.00,4290000.00,12700000.00,12700000.00,2299000.00,,1450000.00,7205000.00,,,13044496.93,67185000.00,64497000.00,2800000.00,190449000.00,88889000.00,59630000.00,67648000.00,122801000.00,90785000.00,161791000.00,5593000.00,242.00,155764.17,,,-3358000.00
PETR4.SA,3/31/2024,9064000.00,23768000.00,4782000.00,0.37,5164000.00,5041000.00,-119973000.00,,335.00,1880000.00,,34100000.00,107101000.00,723.00,11547000.00,16365000.00,10824000.00,107101000.00,81590000.00,32753000.00,,33219000.00,7455000.00,4914000.00,12369000.00,,,,30799000.00,2054000.00,,20.00,,,15310000.00,,,6745000.00,,-25511000.00,25.00,2966000.00,,270184000.00,,1007000.00,,8176000.00,109328000.00,1880000.00,3115000.00,755.00,480.00,,,4511000.00,3081000.00,,26645000.00,22824000.00,49469000.00,1235000.00,23747000.00,18201000.00,73020000.00,459.00,16191000.00,150211000.00,78624000.00,5879000.00,1167000.00,10040000.00,,1167000.00,10040000.00,,,,12909287.66,,4914000.00,3435000.00,-25511000.00,,2941000.00,1761000.00,1235000.00,17066000.00,1930000.00,138618000.00,4818000.00,10145000.00,10145000.00,2796000.00,,1431000.00,6582000.00,,,13044496.93,81590000.00,78624000.00,1541000.00,213623000.00,104414000.00,61838000.00,82049000.00,131574000.00,100775000.00,180404000.00,4961000.00,279.00,135209.27,,,2420000.00
